# Solver information
# Time        	U_solver      	Ux_initial    	Ux_final      	Ux_iters      	Uy_initial    	Uy_final      	Uy_iters      	Uz_initial    	Uz_final      	Uz_iters      	U_converged   	h_solver      	h_initial     	h_final       	h_iters       	h_converged   	p_rgh_solver  	p_rgh_initial 	p_rgh_final   	p_rgh_iters   	p_rgh_converged	rho_solver    	rho_initial   	rho_final     	rho_iters     	rho_converged 
0.379581      	DILUPBiCGStab	1.894950e-03	5.613360e-08	4	1.671170e-02	4.059690e-08	5	3.978040e-03	9.702330e-08	4	false	DILUPBiCGStab	1.485840e-03	2.814160e-08	5	true	DICPCG	2.388530e-03	2.096790e-05	34	true	diagonal	0.000000e+00	0.000000e+00	0	true
0.388749      	DILUPBiCGStab	1.731620e-03	5.112070e-08	4	1.530060e-02	3.715960e-08	5	3.636130e-03	8.835120e-08	4	false	DILUPBiCGStab	1.356250e-03	2.574540e-08	5	true	DICPCG	2.182480e-03	1.918070e-05	34	true	diagonal	0.000000e+00	0.000000e+00	0	true
0.397916      	DILUPBiCGStab	1.582640e-03	4.661910e-08	4	1.400670e-02	3.400350e-08	5	3.324590e-03	8.053720e-08	4	false	DILUPBiCGStab	1.237910e-03	2.354590e-08	5	true	DICPCG	1.994390e-03	1.754170e-05	34	true	diagonal	0.000000e+00	0.000000e+00	0	true
0.407084      	DILUPBiCGStab	1.446650e-03	4.253410e-08	4	1.281910e-02	3.110660e-08	5	3.039870e-03	7.343630e-08	4	false	DILUPBiCGStab	1.129890e-03	2.152890e-08	5	true	DICPCG	1.822540e-03	1.604430e-05	34	true	diagonal	0.000000e+00	0.000000e+00	0	true
0.416251      	DILUPBiCGStab	1.333810e-03	3.304950e-08	4	1.175950e-02	2.840530e-08	5	2.808850e-03	6.679270e-08	4	false	DILUPBiCGStab	1.031250e-03	9.234670e-08	5	true	DICPCG	1.693720e-03	1.473250e-05	34	true	diagonal	0.000000e+00	0.000000e+00	0	true
0.425419      	DILUPBiCGStab	1.209160e-03	3.515070e-08	4	1.076080e-02	9.964090e-08	4	2.545120e-03	6.069090e-08	4	false	DILUPBiCGStab	9.412010e-04	8.424210e-08	5	true	DICPCG	1.520970e-03	1.347400e-05	34	true	diagonal	0.000000e+00	0.000000e+00	0	true
0.434586      	DILUPBiCGStab	1.105160e-03	3.238240e-08	4	9.818350e-03	9.096650e-08	4	2.323200e-03	5.563430e-08	4	false	DILUPBiCGStab	8.590010e-04	7.685190e-08	5	true	DICPCG	1.389760e-03	1.228690e-05	34	true	diagonal	0.000000e+00	0.000000e+00	0	true
0.443754      	DILUPBiCGStab	1.010550e-03	2.961640e-08	4	8.977110e-03	8.329030e-08	4	2.122020e-03	5.067540e-08	4	false	DILUPBiCGStab	7.839740e-04	7.011060e-08	5	true	DICPCG	1.269610e-03	1.124600e-05	34	true	diagonal	0.000000e+00	0.000000e+00	0	true
0.452921      	DILUPBiCGStab	9.238920e-04	2.705010e-08	4	8.209090e-03	7.617390e-08	4	1.939520e-03	4.623180e-08	4	false	DILUPBiCGStab	7.154930e-04	6.395840e-08	5	true	DICPCG	1.160190e-03	1.028230e-05	34	true	diagonal	0.000000e+00	0.000000e+00	0	true
0.462089      	DILUPBiCGStab	8.447390e-04	2.471890e-08	4	7.506780e-03	6.968400e-08	4	1.772650e-03	4.216190e-08	4	false	DILUPBiCGStab	6.529870e-04	5.834570e-08	5	true	DICPCG	1.060110e-03	9.408610e-06	34	true	diagonal	0.000000e+00	0.000000e+00	0	true
0.471256      	DILUPBiCGStab	7.722760e-04	2.257670e-08	4	6.864040e-03	6.370430e-08	4	1.620200e-03	3.845910e-08	4	false	DILUPBiCGStab	5.959340e-04	5.322560e-08	5	true	DICPCG	9.686760e-04	8.602240e-06	34	true	diagonal	0.000000e+00	0.000000e+00	0	true
0.480424      	DILUPBiCGStab	7.060800e-04	2.063350e-08	4	6.275720e-03	5.824000e-08	4	1.480720e-03	3.508250e-08	4	false	DILUPBiCGStab	5.438630e-04	4.855500e-08	5	true	DICPCG	8.851030e-04	7.874790e-06	34	true	diagonal	0.000000e+00	0.000000e+00	0	true
0.489591      	DILUPBiCGStab	6.454980e-04	1.884810e-08	4	5.737470e-03	5.323210e-08	4	1.353170e-03	3.200040e-08	4	false	DILUPBiCGStab	4.963410e-04	4.429410e-08	5	true	DICPCG	8.087590e-04	7.201600e-06	34	true	diagonal	0.000000e+00	0.000000e+00	0	true
0.498759      	DILUPBiCGStab	5.901750e-04	1.722450e-08	4	5.245080e-03	4.865450e-08	4	1.236560e-03	2.919650e-08	4	false	DILUPBiCGStab	4.529740e-04	9.376820e-08	4	true	DICPCG	7.389720e-04	6.584200e-06	34	true	diagonal	0.000000e+00	0.000000e+00	0	true
0.507926      	DILUPBiCGStab	5.395710e-04	1.574440e-08	4	4.794280e-03	4.446400e-08	4	1.129890e-03	2.663290e-08	4	false	DILUPBiCGStab	4.134130e-04	8.558960e-08	4	true	DICPCG	6.752270e-04	6.020730e-06	34	true	diagonal	0.000000e+00	0.000000e+00	0	true
0.517094      	DILUPBiCGStab	4.931880e-04	9.689820e-08	3	4.382230e-03	4.062580e-08	4	1.032480e-03	2.429280e-08	4	false	DILUPBiCGStab	3.773020e-04	7.810400e-08	4	true	DICPCG	6.169210e-04	5.505740e-06	34	true	diagonal	0.000000e+00	0.000000e+00	0	true
0.526261      	DILUPBiCGStab	4.509310e-04	8.863010e-08	3	4.005260e-03	3.711770e-08	4	9.434200e-04	2.216480e-08	4	false	DILUPBiCGStab	3.443480e-04	7.126970e-08	4	true	DICPCG	5.637510e-04	5.034710e-06	34	true	diagonal	0.000000e+00	0.000000e+00	0	true
0.535429      	DILUPBiCGStab	4.121930e-04	8.096700e-08	3	3.660570e-03	3.390990e-08	4	8.620060e-04	2.022020e-08	4	false	DILUPBiCGStab	3.142750e-04	6.503270e-08	4	true	DICPCG	5.150760e-04	4.610460e-06	34	true	diagonal	0.000000e+00	0.000000e+00	0	true
