# Region type : patch inlet
# Faces       : 460
# Area        : 1.000000e-04
# Scale factor: 1.000000e+00
# Time        	areaAverage(T)
22.2253       	2.931500e+02
22.2344       	2.931500e+02
22.2436       	2.931500e+02
22.2527       	2.931500e+02
22.2619       	2.931500e+02
22.2711       	2.931500e+02
22.2802       	2.931500e+02
22.2894       	2.931500e+02
22.2985       	2.931500e+02
22.3077       	2.931500e+02
22.3168       	2.931500e+02
22.326        	2.931500e+02
22.3352       	2.931500e+02
22.3443       	2.931500e+02
22.3535       	2.931500e+02
22.3626       	2.931500e+02
22.3718       	2.931500e+02
22.381        	2.931500e+02
22.3901       	2.931500e+02
22.3993       	2.931500e+02
22.4084       	2.931500e+02
22.4176       	2.931500e+02
22.4267       	2.931500e+02
22.4359       	2.931500e+02
22.4451       	2.931500e+02
22.4542       	2.931500e+02
22.4634       	2.931500e+02
22.4725       	2.931500e+02
22.4817       	2.931500e+02
22.4908       	2.931500e+02
22.5          	2.931500e+02
22.5092       	2.931500e+02
22.5183       	2.931500e+02
22.5275       	2.931500e+02
22.5366       	2.931500e+02
22.5458       	2.931500e+02
22.5549       	2.931500e+02
22.5641       	2.931500e+02
22.5733       	2.931500e+02
22.5824       	2.931500e+02
22.5916       	2.931500e+02
22.6007       	2.931500e+02
22.6099       	2.931500e+02
22.619        	2.931500e+02
22.6282       	2.931500e+02
22.6374       	2.931500e+02
22.6465       	2.931500e+02
22.6557       	2.931500e+02
22.6648       	2.931500e+02
22.674        	2.931500e+02
22.6832       	2.931500e+02
22.6923       	2.931500e+02
22.7015       	2.931500e+02
22.7106       	2.931500e+02
22.7198       	2.931500e+02
22.7289       	2.931500e+02
22.7381       	2.931500e+02
22.7473       	2.931500e+02
22.7564       	2.931500e+02
22.7656       	2.931500e+02
22.7747       	2.931500e+02
22.7839       	2.931500e+02
22.793        	2.931500e+02
22.8022       	2.931500e+02
22.8114       	2.931500e+02
22.8205       	2.931500e+02
22.8297       	2.931500e+02
22.8388       	2.931500e+02
22.848        	2.931500e+02
22.8571       	2.931500e+02
22.8663       	2.931500e+02
22.8755       	2.931500e+02
22.8846       	2.931500e+02
22.8938       	2.931500e+02
22.9029       	2.931500e+02
22.9121       	2.931500e+02
22.9212       	2.931500e+02
22.9304       	2.931500e+02
22.9396       	2.931500e+02
22.9487       	2.931500e+02
22.9579       	2.931500e+02
22.967        	2.931500e+02
22.9762       	2.931500e+02
22.9853       	2.931500e+02
22.9945       	2.931500e+02
23.0037       	2.931500e+02
23.0128       	2.931500e+02
23.022        	2.931500e+02
23.0311       	2.931500e+02
23.0403       	2.931500e+02
23.0495       	2.931500e+02
23.0586       	2.931500e+02
23.0678       	2.931500e+02
23.0769       	2.931500e+02
23.0861       	2.931500e+02
23.0952       	2.931500e+02
23.1044       	2.931500e+02
23.1136       	2.931500e+02
23.1227       	2.931500e+02
23.1319       	2.931500e+02
23.141        	2.931500e+02
23.1502       	2.931500e+02
23.1593       	2.931500e+02
23.1685       	2.931500e+02
23.1777       	2.931500e+02
23.1868       	2.931500e+02
23.196        	2.931500e+02
23.2051       	2.931500e+02
23.2143       	2.931500e+02
23.2234       	2.931500e+02
23.2326       	2.931500e+02
23.2418       	2.931500e+02
23.2509       	2.931500e+02
23.2601       	2.931500e+02
23.2692       	2.931500e+02
23.2784       	2.931500e+02
23.2875       	2.931500e+02
23.2967       	2.931500e+02
